"filename", "language", "TypeScript JSX", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "Properties", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Service.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\constants\Users.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\fetcher\graphDatas\donutGraph.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\fetcher\graphDatas\lineGraph.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\fetcher\useFetchData.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\mailer\useMailer.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useAuth.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 14, 65
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useBooking.ts", "TypeScript", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 21, 203
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useInquiry.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useInstallers.ts", "TypeScript", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 15, 134
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useProducts.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useSendMail.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\hooks\requests\useServices.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 1, 12, 96
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\function\currencyFormatter.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\function\dateFormatter.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 7, 29
"c:\Users\CUTA2024011\Documents\Cutamora\CAPSTONE\capstone_project\client\src\lib\function\encrypter\encrypter.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 6, 19
